kanji,ka_name,ka_examples,onyomi,kunyomi,nanori,english,jlpt,strokes,usage_freq_2500,grade,radicals
迎,(kan)gei,"[ [ ""迎賓館（げいひんかん）"", ""reception hall"" ], [ ""送迎バス（そうげいバス）"", ""a pick up and drop off bus"" ], [ ""迎合する（げいごうする）"", ""flatter, ingratiate"" ], [ ""歓迎する（かんげいする）"", ""welcome, give warm reception"" ], [ ""迎える（むかえる）"", ""go to meet, pick up"" ], [ ""送り迎え（おくりむかえ）"", ""dropping off and picking up"" ] ]",ゲイ,むか.える,むかえ,"welcome, meet, greet",2.0,7.0,625.0,8.0,"込, 卩"
輸,yu(ketsu),"[ [ ""運輸会社（うんゆがいしゃ）"", ""transit company"" ], [ ""輸送する（ゆそうする）"", ""transport [v.t.]"" ], [ ""輸出する（ゆしゅつする）"", ""export"" ], [ ""輸入する（ゆにゅうする）"", ""import"" ], [ ""輸血する（ゆけつする）"", ""give a blood transfusion"" ], [ ""密輸する（みつゆする）"", ""smuggle"" ], [ ""空輸する（くうゆする）"", ""transport by air"" ] ]","ユ, シュ",,,"transport, send, be inferior",2.0,16.0,371.0,5.0,"刈, 月, 車, 个, 一"
片,hen-kata,"[ [ ""破片（はへん）"", ""fragment, splinter, piece"" ], [ ""断片（だんぺん）"", ""fragment, shred"" ], [ ""片手（かたて）"", ""one hand"" ], [ ""片目（かため）"", ""one eye"" ], [ ""片側（かたがわ）"", ""one side"" ], [ ""片面（かためん）"", ""one side"" ], [ ""片道（かたみち）"", ""one-way"" ], [ ""片言（かたこと）"", ""baby talk, broken speech"" ], [ ""片仮名（かたかな）"", ""katakana"" ], [ ""片思い（かたおもい）"", ""unrequited love"" ], [ ""片寄る（かたよる）"", ""lean, incline, be biased"" ], [ ""片付ける（かたづける）"", ""tidy up"" ] ]",ヘン,"かた-, かた",,"one-sided, leaf, sheet, right-side kata radical (no. 91)",2.0,4.0,1076.0,6.0,片
冊,(nan)satsu,"[ [ ""一冊（いっさつ）"", ""one (bound object)"" ], [ ""冊数（さっすう）"", ""number of bound things"" ], [ ""別冊（べっさつ）"", ""extra issue"" ], [ ""短冊（たんざく）"", ""small vertical card for poem"" ] ]","サツ, サク",ふみ,,"tome, counter for books, volume",2.0,5.0,1313.0,6.0,"｜, 一, 亅, 冂, 廾, 冊"
狭,sema(i),"[ [ ""狭義（きょうぎ）"", ""narrow, strict"" ], [ ""狭心症（きょうしんしょう）"", ""heart attack, angina pectoris"" ], [ ""狭量な（きょうりょうな）"", ""narrow minded"" ], [ ""偏狭な（へんきょうな）"", ""narrow minded, intolerant"" ], [ ""狭い（せまい）"", ""narrow, confined, small"" ], [ ""狭苦しい（せまくるしい）"", ""cramped"" ], [ ""狭める（せばめる）"", ""narrow, reduce, contract [v.t.]"" ], [ ""狭まる（せばまる）"", ""narrow, contract [v.i.]"" ] ]","キョウ, コウ","せま.い, せば.める, せば.まる, さ",はざ,"cramped, narrow, contract, tight",2.0,9.0,1346.0,8.0,"人, 大, 二, 并, 犯, 丶, 亠"
差,(ji)sa,"[ [ ""差（さ）"", ""difference, variation"" ], [ ""差額（さがく）"", ""balance, difference, margin"" ], [ ""大差（たいさ）"", ""great difference"" ], [ ""時差（じさ）"", ""time difference"" ], [ ""個人差（こじんさ）"", ""personal differences"" ], [ ""交差点（こうさてん）"", ""(street) intersection"" ], [ ""差別する（さべつする）"", ""discriminate"" ], [ ""差す（さす）"", ""raise (hand, umbrella)"" ], [ ""差し当たり（さしあたり）"", ""for the time being, at present"" ], [ ""差し支え（さしつかえ）"", ""hindrance, impediment"" ] ]",サ,"さ.す, さ.し",,"distinction, difference, variation, discrepancy, margin, balance",2.0,10.0,449.0,4.0,"ノ, 王, 工, 并, 羊"
刷,(in)satsu,"[ [ ""刷新する（さっしんする）"", ""reform, renovate"" ], [ ""印刷する（いんさつする）"", ""print"" ], [ ""縮刷する（しゅくさつする）"", ""print in reduced size"" ], [ ""増刷する（ぞうさつする）"", ""reprint"" ], [ ""刷る（する）"", ""print [v.t.]"" ] ]",サツ,"す.る, -ず.り, -ずり, は.く",,"printing, print, brush",2.0,8.0,1352.0,4.0,"刈, 巾, 尸"
利,ri(yousuru),"[ [ ""利点（りてん）"", ""advantage, point in favor"" ], [ ""利益（りえき）"", ""benefit, profit, gain [n.]"" ], [ ""利害（りがい）"", ""advantages and disadvantages interest"" ], [ ""利息（りそく）"", ""interest"" ], [ ""権利（けんり）"", ""right, privilege"" ], [ ""利口な（りこうな）"", ""clever, shrewd, bright, sharp"" ], [ ""便利な（べんりな）"", ""convenient, handy, useful"" ], [ ""有利な（ゆうりな）"", ""advantageous, profitable"" ], [ ""利用する（りようする）"", ""use, utilize, apply"" ], [ ""勝利する（しょうりする）"", ""triumph, succeed, be victorious"" ], [ ""利く（きく）"", ""be effective"" ], [ ""左利き（ひだりきき）"", ""left handed"" ] ]",リ,き.く,"かが, と, とし, のり, み, りい","profit, advantage, benefit",2.0,7.0,203.0,4.0,"禾, 刈"
拡,kaku(daisuru),"[ [ ""拡声器（かくせいき）"", ""megaphone, bullhorn"" ], [ ""拡大する（かくだいする）"", ""magnify, enlarge"" ], [ ""拡張する（かくちょうする）"", ""extend, expand"" ], [ ""拡充する（かくじゅうする）"", ""expand"" ], [ ""拡散する（かくさんする）"", ""scatter"" ] ]","カク, コウ","ひろ.がる, ひろ.げる, ひろ.める",,"broaden, extend, expand, enlarge",2.0,8.0,611.0,6.0,"厶, 广, 扎"
陸,riku,"[ [ ""陸（りく）"", ""land, shore"" ], [ ""陸地（りくち）"", ""land"" ], [ ""陸上（りくじょう）"", ""land, ground, shore"" ], [ ""陸橋（りっきょう）"", ""overland bridge, overpass"" ], [ ""陸軍（りくぐん）"", ""army"" ], [ ""陸路（りくろ）"", ""overland route, land route"" ], [ ""大陸（たいりく）"", ""continent"" ], [ ""着陸する（ちゃくりくする）"", ""land, touch down"" ], [ ""上陸する（じょうりくする）"", ""land, go ashore"" ] ]","リク, ロク",おか,"くが, たち, みち, む, むつ","land, six",2.0,11.0,736.0,4.0,"土, 儿, 阡"
末,matsu-sue,"[ [ ""末端（まったん）"", ""end, tip, extremity"" ], [ ""週末（しゅうまつ）"", ""weekend"" ], [ ""月末（げつまつ）"", ""end of the month"" ], [ ""年末（ねんまつ）"", ""end-of-year"" ], [ ""結末（けつまつ）"", ""end conclusion"" ], [ ""期末試験（きまつしけん）"", ""final exam"" ], [ ""粗末な（そまつな）"", ""coarse, shabby"" ], [ ""末期的な（まっきてきな）"", ""decadent, terminal, final"" ], [ ""始末する（しまつする）"", ""manage, deal, settle"" ], [ ""末子（ばっし）"", ""youngest child"" ], [ ""末（すえ）"", ""top, end, tip"" ], [ ""末っ子（すえっこ）"", ""youngest child"" ] ]","マツ, バツ","すえ, うら, うれ",,"end, close, tip, powder, posterity",2.0,5.0,456.0,4.0,"｜, 一, ハ, 木, 亠"
燃,mo(yasu),"[ [ ""燃料（ねんりょう）"", ""fuel"" ], [ ""燃費（ねんぴ）"", ""fuel, consumption, gas mileage"" ], [ ""可燃性（かねんせい）"", ""combustibility, flammability"" ], [ ""不燃性（ふねんせい）"", ""non-inflammability"" ], [ ""燃焼する（ねんしょうする）"", ""burn, combust"" ], [ ""再燃する（さいねんする）"", ""resuscitate, revive, recur"" ], [ ""燃やす（もやす）"", ""burn [v.t.]"" ], [ ""燃える（もえる）"", ""burn [v.i.]"" ], [ ""燃す（もす）"", ""burn [v.t.]"" ] ]",ネン,"も.える, も.やす, も.す",,"burn, blaze, glow",2.0,16.0,948.0,5.0,"火, 犬, 夕, 杰"
馬,uma,"[ [ ""馬車（ばしゃ）"", ""horse-drawn vehicle"" ], [ ""馬力（ばりき）"", ""horse-power, h.p."" ], [ ""乗馬（じょうば）"", ""horseback riding"" ], [ ""競馬（けいば）"", ""horse racing"" ], [ ""馬鹿な（ばかな）"", ""stupid, silly"" ], [ ""竹馬の友（ちくばのとも）"", ""childhood friend"" ], [ ""出馬する（しゅつばする）"", ""stand as a candidate"" ], [ ""落馬する（らくばする）"", ""fall from a horse"" ], [ ""馬（うま）"", ""horse"" ], [ ""絵馬（えま）"", ""votive picture"" ] ]",バ,"うま, うま-, ま","た, ばん, め, も",horse,2.0,10.0,639.0,2.0,"馬, 杰"
鹿,shika,"[ [ ""鹿苑寺（ろくおんじ）"", ""formal name of Kinkakuji Temple"" ], [ ""鹿鳴館（ろくめいかん）"", ""name of a building in Meiji period"" ], [ ""鹿（しか）"", ""deer"" ], [ ""*馬鹿な（ばかな）"", ""stupid, silly"" ] ]",ロク,"しか, か",しし,deer,1.0,11.0,957.0,4.0,"鹿, 比, 广"
生,u(mu),"[ [ ""学生（がくせい）"", ""student"" ], [ ""先生（せんせい）"", ""teacher, master, doctor"" ], [ ""一生（いっしょう）"", ""one's whole life"" ], [ ""誕生日（たんじょうび）"", ""birthday"" ], [ ""生きる（いきる）"", ""live"" ], [ ""生まれる（うまれる）"", ""be born"" ], [ ""生い立ち（おいたち）"", ""upbringing, background"" ], [ ""生える（はえる）"", ""grow [v.i.]"" ], [ ""生やす（はやす）"", ""grow [v.t.]"" ], [ ""生卵（なまたまご）"", ""raw egg"" ], [ ""生地（きじ）"", ""cloth"" ] ]","セイ, ショウ","い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う","あさ, いき, いく, いけ, うぶ, うまい, え, おい, ぎゅう, くるみ, ごせ, さ, じょう, すぎ, そ, そう, ちる, なば, にう, にゅう, ふ, み, もう, よい, りゅう","life, genuine, birth",4.0,5.0,29.0,1.0,生
枚,(nan)mai,"[ [ ""一枚（いちまい）"", ""one (flat object)"" ], [ ""何枚（なんまい）"", ""how many flat objects"" ], [ ""枚数（まいすう）"", ""number of flat objects"" ] ]","マイ, バイ",,ひら,"sheet of..., counter for flat thin objects or sheets",2.0,8.0,911.0,6.0,"木, 攵, 乞"
負,fu(tan),"[ [ ""負債（ふさい）"", ""debt, liabilities"" ], [ ""負数（ふすう）"", ""negative number"" ], [ ""負担する（ふたんする）"", ""bear a burden"" ], [ ""負傷する（ふしょうする）"", ""get injured, get hurt"" ], [ ""勝負する（しょうぶする）"", ""play, have a match"" ], [ ""自負する（じふする）"", ""flatter oneself, feel proud"" ], [ ""負ける（まける）"", ""lose, be defeated [v.i.]"" ], [ ""負け犬（まけいぬ）"", ""underdog, loser"" ], [ ""負かす（まかす）"", ""defeat [v.t.]"" ], [ ""負う（おう）"", ""carry, bear, be in debt"" ] ]",フ,"ま.ける, ま.かす, お.う",,"defeat, negative, -, minus, bear, owe, assume a responsibility",2.0,9.0,443.0,3.0,"貝, 目, ハ, 勹"
渉,shou(gaibu),"[ [ ""渉外部（しょうがいぶ）"", ""public relations department"" ], [ ""交渉する（こうしょうする）"", ""negotiate, discuss"" ], [ ""干渉する（かんしょうする）"", ""interfere, intervene"" ] ]",ショウ,わた.る,えん,"ford, go cross, transit, ferry, import, involve",1.0,11.0,499.0,8.0,"ノ, 止, 汁, 小"
卓,(den)taku,"[ [ ""卓上（たくじょう）"", ""tabletop, desktop"" ], [ ""卓球（たっきゅう）"", ""table tennis, ping-pong"" ], [ ""卓見（たくけん）"", ""penetration, excellent idea"" ], [ ""食卓（しょくたく）"", ""dining table"" ], [ ""電卓（でんたく）"", ""calculator"" ], [ ""卓抜な（たくばつな）"", ""excellent, superior"" ], [ ""卓越する（たくえつする）"", ""excel, surpass"" ], [ ""卓立する（たくりつする）"", ""excel, stand out"" ] ]",タク,,"すぐる, たか, たかし","eminent, table, desk, high",1.0,8.0,1348.0,8.0,"十, 日, 卜"
適,teki(dona),"[ [ ""適量（てきりょう）"", ""proper quantity"" ], [ ""適性（てきせい）"", ""aptitude"" ], [ ""適齢期（てきれいき）"", ""marriageable age"" ], [ ""適当な（てきとうな）"", ""fit, suitable, adequate"" ], [ ""適切な（てきせつな）"", ""pertinent, appropriate"" ], [ ""適度な（てきどな）"", ""moderate"" ], [ ""適正な（てきせいな）"", ""reasonable, suitable"" ], [ ""最適な（さいてきな）"", ""optimal, most suitable"" ], [ ""適する（てきする）"", ""fit, suit [v.i.]"" ], [ ""適用する（てきようする）"", ""apply"" ], [ ""適合する（てきごうする）"", ""suit, adapted, conform [v.i.]"" ], [ ""適応する（てきおうする）"", ""adapt, accommodate [v.i.]"" ] ]",テキ,かな.う,,"suitable, occasional, rare, qualified, capable",2.0,14.0,670.0,5.0,"口, 込, 十, 并, 立, 亠, 冂, 滴"
創,sou(ritsu),"[ [ ""創意（そうい）"", ""original idea, originality"" ], [ ""創世記（そうせいき）"", ""Genesis"" ], [ ""創設者（そうせつしゃ）"", ""founder"" ], [ ""創始者（そうししゃ）"", ""originator"" ], [ ""独創的な（どくそうてきな）"", ""creative, original"" ], [ ""創造する（そうぞうする）"", ""create"" ], [ ""創作する（そうさくする）"", ""create, write a novel"" ], [ ""創立する（そうりつする）"", ""establish, found"" ], [ ""創刊する（そうかんする）"", ""launching (a magazine)"" ], [ ""創業する（そうぎょうする）"", ""establish (a company)"" ] ]","ソウ, ショウ","つく.る, はじ.める, きず, けず.しける",はじめ,"genesis, wound, injury, hurt, start, originate",1.0,12.0,741.0,6.0,"刈, 口, 个, 一"
精,sei(mitsuna),"[ [ ""精神（せいしん）"", ""mind, soul, heart, spirit"" ], [ ""精力（せいりょく）"", ""energy, vigor, vitality"" ], [ ""精度（せいど）"", ""precision, accuracy"" ], [ ""精一杯（せいいっぱい）"", ""with all one's might"" ], [ ""精密な（せいみつな）"", ""precise, exact, detailed"" ], [ ""精巧な（せいこうな）"", ""elaborate, delicate, exquisite"" ], [ ""精製する（せいせいする）"", ""purify"" ], [ ""精通する（せいつうする）"", ""be well versed in"" ], [ ""精算する（せいさんする）"", ""adjust the fare"" ], [ ""受精する（じゅせいする）"", ""fertilize, inseminate"" ], [ ""無精な（ぶしょうな）"", ""indolent, lazy"" ], [ ""精進する（しょうじんする）"", ""devote oneself to a pursuit"" ] ]","セイ, ショウ","しら.げる, くわ.しい",きよ,"refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill",2.0,14.0,752.0,5.0,"月, 青, 土, 二, 米, 亠"
認,mito(meru),"[ [ ""認識する（にんしきする）"", ""recognize, become aware of"" ], [ ""認知する（にんちする）"", ""acknowledge, recognize"" ], [ ""認可する（にんかする）"", ""approve, give permission"" ], [ ""認定する（にんていする）"", ""authorize, acknowledge"" ], [ ""確認する（かくにんする）"", ""affirm, confirm"" ], [ ""承認する（しょうにんする）"", ""approve, acknowledge"" ], [ ""黙認する（もくにんする）"", ""tolerate, give tacit consent"" ], [ ""認める（みとめる）"", ""recognize, acknowledge"" ] ]",ニン,"みと.める, したた.める",,"acknowledge, witness, discern, recognize, appreciate, believe",2.0,14.0,198.0,6.0,"言, 心, 刀, 丶"
導,michibi(ku),"[ [ ""主導権（しゅどうけん）"", ""hegemony, leadership, initiative"" ], [ ""盲導犬（もうどうけん）"", ""seeing eye dog"" ], [ ""半導体（はんどうたい）"", ""semiconductor"" ], [ ""導入する（どうにゅうする）"", ""introduce, bring in"" ], [ ""指導する（しどうする）"", ""lead, guide, coach"" ], [ ""誘導する（ゆうどうする）"", ""guide, lead, conduct"" ], [ ""導く（みちびく）"", ""lead, guide, show the way"" ] ]",ドウ,みちび.く,みち,"guidance, leading, conduct, usher",2.0,15.0,354.0,5.0,"込, 自, 寸, 并, 首"
固,kata(mari),"[ [ ""固体（こたい）"", ""solid"" ], [ ""固形（こけい）"", ""solid"" ], [ ""固有（こゆう）"", ""peculiar (to), characteristic (of)"" ], [ ""頑固な（がんこな）"", ""stubborn, obstinate"" ], [ ""強固な（きょうこな）"", ""firm, stable, strong"" ], [ ""固定する（こていする）"", ""fix, be fixed"" ], [ ""固辞する（こじする）"", ""refuse firmly"" ], [ ""凝固する（ぎょうこする）"", ""coagulate, freeze, solidify"" ], [ ""固める（かためる）"", ""harden, freeze, fortify [v.t.]"" ], [ ""固まる（かたまる）"", ""harden, solidify [v.i.]"" ], [ ""固い（かたい）"", ""hard, firm, certain"" ] ]",コ,"かた.める, かた.まる, かた.まり, かた.い",,"harden, set, clot, curdle",2.0,8.0,750.0,4.0,"口, 十, 囗"
隣,tona(ri),"[ [ ""隣人（りんじん）"", ""neighbor"" ], [ ""隣国（りんごく）"", ""neighboring country"" ], [ ""近隣（きんりん）"", ""neighborhood, vicinity"" ], [ ""隣接する（りんせつする）"", ""adjoin, be adjacent, be related"" ], [ ""隣席する（りんせきする）"", ""sit next to"" ], [ ""隣（となり）"", ""next to, next door to"" ], [ ""隣近所（となりきんじょ）"", ""neighbors, neighborhood"" ], [ ""隣り合う（となりあう）"", ""adjoin, sit side by side"" ] ]",リン,"とな.る, となり",ちか,neighboring,1.0,16.0,1083.0,8.0,"舛, 米, 夕, 阡"
台,dai(za),"[ [ ""台（だい）"", ""stand, rack"" ], [ ""台座（だいざ）"", ""pedestal"" ], [ ""台所（だいどころ）"", ""kitchen"" ], [ ""台地（だいち）"", ""plateau"" ], [ ""一台（いちだい）"", ""one (machine)"" ], [ ""気象台（きしょうだい）"", ""meteorological observatory"" ], [ ""台湾（たいわん）"", ""Taiwan"" ], [ ""台風（たいふう）"", ""typhoon"" ] ]","ダイ, タイ","うてな, われ, つかさ",,"pedestal, a stand, counter for machines and vehicles",3.0,5.0,262.0,2.0,"口, 厶"
戦,ikusa,"[ [ ""戦争（せんそう）"", ""war"" ], [ ""戦闘（せんとう）"", ""battle, fight, combat"" ], [ ""戦場（せんじょう）"", ""battlefield, battleground"" ], [ ""戦前（せんぜん）"", ""pre-war"" ], [ ""戦後（せんご）"", ""postwar"" ], [ ""作戦（さくせん）"", ""tactics, strategy"" ], [ ""決勝戦（けっしょうせん）"", ""finals game of a tournament decision of a contest"" ], [ ""観戦する（かんせんする）"", ""watch a game"" ], [ ""敗戦する（はいせんする）"", ""lose, be defeated"" ], [ ""挑戦する（ちょうせんする）"", ""challenge, defy [v.i.]"" ], [ ""戦（いくさ）"", ""war, battle, campaign, fight"" ], [ ""戦う（たたかう）"", ""fight [v.i.]"" ] ]",セン,"いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く",せ,"war, battle, match",2.0,13.0,78.0,4.0,"十, 尚, 田, 戈"
和,yawa(ragu),"[ [ ""和食（わしょく）"", ""Japanese-style meal"" ], [ ""和歌（わか）"", ""31 syllable poem"" ], [ ""平和（へいわ）"", ""peace, harmony"" ], [ ""温和な（おんわな）"", ""gentle, mild, moderate"" ], [ ""緩和する（かんわする）"", ""relief, mitigate"" ], [ ""調和する（ちょうわする）"", ""harmonize, be in harmony"" ], [ ""和尚（おしょう）"", ""Buddhist priest"" ], [ ""和らげる（やわらげる）"", ""soften, moderate, relieve"" ], [ ""和らぐ（やわらぐ）"", ""soften, calm down"" ], [ ""和やかな（なごやかな）"", ""peaceful, mild, amicable"" ], [ ""和む（なごむ）"", ""soften, calm down"" ], [ ""*大和（やまと）"", ""Yamato, Japan"" ] ]","ワ, オ, カ","やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える","あい, いず, かず, かつ, かつり, かづ, たけ, ち, とも, な, にぎ, まさ, やす, よし, より, わだこ, わっ","harmony, Japanese style, peace, soften, Japan",2.0,8.0,124.0,3.0,"禾, 口"
忠,chuu(koku),"[ [ ""忠義（ちゅうぎ）"", ""loyalty, devotion"" ], [ ""忠誠心（ちゅうせいしん）"", ""loyalty, sincerity"" ], [ ""忠実な（ちゅうじつな）"", ""faithful, loyal"" ], [ ""忠告する（ちゅうこくする）"", ""advise, warn"" ] ]",チュウ,,"きよし, たた, ただ, ただし, なお","loyalty, fidelity, faithfulness",1.0,8.0,1113.0,6.0,"｜, 口, 心"
混,kon-ma(zeru),"[ [ ""混浴（こんよく）"", ""co-ed bathing"" ], [ ""混声合唱（こんせいがっしょう）"", ""co-ed chorus"" ], [ ""混同する（こんどうする）"", ""confuse, mix, merge"" ], [ ""混合する（こんごうする）"", ""mix"" ], [ ""混入する（こんにゅうする）"", ""mix in, adulterate"" ], [ ""混雑する（こんざつする）"", ""be crowded, be congested"" ], [ ""混乱する（こんらんする）"", ""be in disorder, confusion, chaos"" ], [ ""混ぜる（まぜる）"", ""mix, stir [v.t.]"" ], [ ""混ざる（まざる）"", ""mix, blend [v.i.]"" ], [ ""混じる（まじる）"", ""mix, blend [v.i.]"" ], [ ""*混む（こむ）"", ""be crowded, be congested"" ] ]",コン,"ま.じる, -ま.じり, ま.ざる, ま.ぜる, こ.む",,"mix, blend, confuse",2.0,11.0,824.0,5.0,"汁, 日, 比"
鉄,tetsu(dou),"[ [ ""鉄（てつ）"", ""iron"" ], [ ""鉄道（てつどう）"", ""railroad"" ], [ ""鉄骨（てっこつ）"", ""steel frame"" ], [ ""鉄砲（てっぽう）"", ""gun"" ], [ ""鉄鋼（てっこう）"", ""iron and steel"" ], [ ""製鉄（せいてつ）"", ""steelmaking"" ], [ ""私鉄（してつ）"", ""private railway"" ], [ ""地下鉄（ちかてつ）"", ""underground train, subway"" ] ]",テツ,くろがね,"けん, てっ",iron,2.0,13.0,672.0,3.0,"ノ, 金, 二, 矢, 大, 乞"
喫,kitsu(ensuru),"[ [ ""喫茶店（きっさてん）"", ""coffee shop"" ], [ ""喫煙する（きつえんする）"", ""smoke, have a smoke"" ], [ ""満喫する（まんきつする）"", ""have enough of fully enjoy"" ] ]",キツ,の.む,,"consume, eat, drink, smoke, receive (a blow)",2.0,12.0,1347.0,8.0,"口, 大, 土, 刀, 亠, 二"
座,za-suwa(ru),"[ [ ""座席（ざせき）"", ""seat"" ], [ ""座敷（ざしき）"", ""tatami room"" ], [ ""座禅（ざぜん）"", ""meditation"" ], [ ""座談会（ざだんかい）"", ""symposium, round-table"" ], [ ""座右の書（ざゆうのしょ）"", ""one's bedside book"" ], [ ""星座（せいざ）"", ""constellation"" ], [ ""王座（おうざ）"", ""throne"" ], [ ""銀座（ぎんざ）"", ""silver mint, Ginza (place name)"" ], [ ""講座（こうざ）"", ""course (of lectures)"" ], [ ""銀行口座（ぎんこうこうざ）"", ""bank account"" ], [ ""座る（すわる）"", ""sit, squat"" ] ]",ザ,すわ.る,,"squat, seat, cushion, gathering, sit",2.0,10.0,588.0,6.0,"｜, 土, 人, 广"
鼻,bi-hana,"[ [ ""鼻炎（びえん）"", ""nasal inflammation"" ], [ ""鼻音（びおん）"", ""nasal sound"" ], [ ""耳鼻科（じびか）"", ""otolaryngology"" ], [ ""鼻（はな）"", ""nose"" ], [ ""鼻水（はなみず）"", ""mucus"" ], [ ""鼻血（はなぢ）"", ""nosebleed"" ] ]",ビ,はな,,"nose, snout",2.0,14.0,1632.0,3.0,"自, 田, 廾, 鼻, 目"
首,shu-kubi,"[ [ ""首都（しゅと）"", ""capital city"" ], [ ""首脳（しゅのう）"", ""head, leader, chief"" ], [ ""首相（しゅしょう）"", ""Prime Minister, Chancellor"" ], [ ""首席（しゅせき）"", ""top seat"" ], [ ""首位（しゅい）"", ""first place, head position"" ], [ ""部首（ぶしゅ）"", ""radical (of kanji)"" ], [ ""党首（とうしゅ）"", ""party leader"" ], [ ""機首（きしゅ）"", ""nose of a plane"" ], [ ""絞首刑（こうしゅけい）"", ""death by hanging"" ], [ ""自首する（じしゅする）"", ""surrender, give oneself up"" ], [ ""首（くび）"", ""neck"" ], [ ""手首（てくび）"", ""wrist"" ] ]",シュ,くび,"おびと, こべ, す","neck, counter for songs and poems",3.0,9.0,98.0,2.0,"自, 首, 并, 目"
震,furu(eru),"[ [ ""震動（しんどう）"", ""shock, tremor, impact"" ], [ ""震度（しんど）"", ""Japanese earthquake scale"" ], [ ""震源（しんげん）"", ""epicenter"" ], [ ""震災（しんさい）"", ""earthquake (disaster)"" ], [ ""地震（じしん）"", ""earthquake"" ], [ ""強震（きょうしん）"", ""severe earthquake"" ], [ ""弱震（じゃくしん）"", ""mild earthquake"" ], [ ""震える（ふるえる）"", ""shiver, shake, quake [v.i.]"" ], [ ""身震いする（みぶるいする）"", ""shiver, tremble, shudder"" ] ]",シン,"ふる.う, ふる.える, ふる.わせる, ふる.わす",,"quake, shake, tremble, quiver, shiver",2.0,15.0,893.0,8.0,"衣, 雨, 辰, 厂"
個,ko(sei),"[ [ ""一個（いっこ）"", ""1 (piece)"" ], [ ""何個（なんこ）"", ""how many pieces"" ], [ ""個室（こしつ）"", ""private room"" ], [ ""個人（こじん）"", ""individual"" ], [ ""個性（こせい）"", ""personality"" ], [ ""二個所（にかしょ）"", ""2 places"" ] ]","コ, カ",,,"individual, counter for articles",2.0,10.0,451.0,5.0,"化, 口, 十, 囗"
災,sai(nan),"[ [ ""災難（さいなん）"", ""mishap, calamity, misfortune"" ], [ ""災害（さいがい）"", ""calamity, disaster"" ], [ ""震災（しんさい）"", ""earthquake (disaster)"" ], [ ""火災（かさい）"", ""fire (disaster)"" ], [ ""人災（じんさい）"", ""man-made disaster"" ], [ ""天災（てんさい）"", ""natural disaster"" ], [ ""戦災（せんさい）"", ""war damage"" ], [ ""被災地（ひさいち）"", ""disaster-struck area"" ], [ ""災い（わざわい）"", ""calamity, catastrophe, evil"" ] ]",サイ,わざわ.い,,"disaster, calamity, woe, curse, evil",1.0,7.0,976.0,5.0,"火, 巛"
焦,ko(geru),"[ [ ""焦土（しょうど）"", ""scorched earth"" ], [ ""焦点（しょうてん）"", ""focus, point"" ], [ ""焦燥感（しょうそうかん）"", ""impatience, uneasiness"" ], [ ""焦げる（こげる）"", ""burn, be burned [v.i.]"" ], [ ""焦がす（こがす）"", ""burn, scorch, singe [v.t.]"" ], [ ""恋焦がれる（こいこがれる）"", ""yearn for, be deeply in love"" ], [ ""待ち焦がれる（まちこがれる）"", ""long for"" ], [ ""焦る（あせる）"", ""be in a hurry, be impatient"" ] ]",ショウ,"こ.げる, こ.がす, こ.がれる, あせ.る, じ.れる, じ.らす",,"char, hurry, impatient, irritate, burn, scorch, singe",1.0,12.0,973.0,8.0,"杰, 隹"
破,ha(kaisuru),"[ [ ""破局（はきょく）"", ""catastrophe, cataclysm"" ], [ ""破片（はへん）"", ""fragment, splinter, broken piece"" ], [ ""破壊する（はかいする）"", ""destroy, demolish"" ], [ ""破棄する（はきする）"", ""revoke, annul, break"" ], [ ""破産する（はさんする）"", ""go bankrupt"" ], [ ""破滅する（はめつする）"", ""fall into ruin"" ], [ ""読破する（どくはする）"", ""finish reading a book"" ], [ ""爆破する（ばくはする）"", ""explode, blow up"" ], [ ""難波する（なんぱする）"", ""be wrecked (ship)"" ], [ ""突破する（とっぱする）"", ""break through"" ], [ ""破る（やぶる）"", ""tear, violate, defeat [v.t.]"" ], [ ""破れる（やぶれる）"", ""wear out, get torn [v.i.]"" ] ]",ハ,"やぶ.る, やぶ.れる, わ.れる",,"rend, rip, tear, break, destroy, defeat, frustrate",2.0,10.0,590.0,5.0,"口, 石, 皮, 又"
壊,kai-kowa(su),"[ [ ""壊滅する（かいめつする）"", ""destroy, annihilate [v.t.][v.i.]"" ], [ ""破壊する（はかいする）"", ""destroy, demolish"" ], [ ""崩壊する（ほうかいする）"", ""collapse, crumble"" ], [ ""倒壊する（とうかいする）"", ""collapse, fall down"" ], [ ""全壊する（ぜんかいする）"", ""be completely destroyed"" ], [ ""壊す（こわす）"", ""break, destroy [v.t.]"" ], [ ""壊れる（こわれる）"", ""break [v.i.]"" ] ]","カイ, エ","こわ.す, こわ.れる, やぶ.る",,"demolition, break, destroy",1.0,16.0,727.0,8.0,"衣, 十, 土, 買, 亠"
